dataset,window_idx,persona,history_length,horizon,overall_consistency,is_consistent,contradiction_rate,semantic_vs_template,num_sentences,mase,mase_first,fair_mase,coverage_pct,interval_sharpness,rst_relations,top_covariate,top_covariate_impact_pct
Weather,20,executive,512,96,0.7950871586799622,True,0.0,0.8465599326229055,5,0.9097884232146887,0.7427978892256948,0.2182986370077962,93.75,0.40762626150406495,"elaboration,cause",temp_min,37.13004882964041
Weather,21,analyst,512,96,0.7468588650226593,True,0.0,0.884722285552161,6,0.9322564410430098,1.4174804369608565,0.24112013613862301,95.83333333333334,0.41119338893646784,"elaboration,cause",temp_min,36.04626703883392
Weather,21,executive,512,96,0.7559741288423538,True,0.0,0.7674450874328613,4,0.9322564410430098,1.4174804369608565,0.24112013613862301,95.83333333333334,0.41119338893646784,"elaboration,cause",temp_min,36.04626703883392
Weather,22,analyst,512,96,0.7256914526224136,True,0.16666666666666666,0.8887458443641663,6,0.9756074016718466,0.9091654663817341,0.2055395697192556,92.70833333333334,0.4009355748141254,"elaboration,cause",temp_min,36.80703239423263
Weather,22,executive,512,96,0.7330501079559326,True,0.0,0.7749019861221313,4,0.9756074016718466,0.9091654663817341,0.2055395697192556,92.70833333333334,0.4009355748141254,"elaboration,cause",temp_min,36.80703239423263
Weather,23,analyst,512,96,0.7677683134873708,True,0.0,0.8574475561051104,6,1.0545856207382642,0.49767933428549044,0.1867899544223957,93.75,0.32991493911277964,"elaboration,cause",temp_min,36.21032730871735
Weather,23,executive,512,96,0.7779852390289307,True,0.0,0.8106933832168579,5,1.0545856207382642,0.49767933428549044,0.1867899544223957,93.75,0.32991493911277964,"elaboration,cause",temp_min,36.21032730871735
Weather,24,analyst,512,96,0.7411542981863022,True,0.0,0.8856167060871966,6,0.9896040919880444,0.6654142805539109,0.31593618870551826,89.58333333333334,0.3122731916672361,"elaboration,cause",temp_min,34.61482430385608
Weather,24,executive,512,96,0.7840709090232849,True,0.0,0.9030682925067297,7,0.9896040919880444,0.6654142805539109,0.31593618870551826,89.58333333333334,0.3122731916672361,"elaboration,cause",temp_min,34.61482430385608
Weather,25,analyst,512,96,0.7169690417746702,True,0.16666666666666666,0.8566869497299194,6,0.8996217533259402,4.169783369532469,0.15046018046887968,94.79166666666666,0.2848240171093036,"elaboration,cause",temp_min,34.03289795699258
Weather,25,executive,512,96,0.6886106938123703,False,0.2,0.745144784450531,5,0.8996217533259402,4.169783369532469,0.15046018046887968,94.79166666666666,0.2848240171093036,"elaboration,cause",temp_min,34.03289795699258
Weather,26,analyst,512,96,0.680360789100329,False,0.0,0.8572299310243048,6,0.8454267248560113,1.3307917288968019,0.20956808452930864,100.0,0.41102990500318515,"elaboration,cause",temp_min,35.038045902396995
Weather,26,executive,512,96,0.6419632256031036,False,0.2,0.8269679936132424,5,0.8454267248560113,1.3307917288968019,0.20956808452930864,100.0,0.41102990500318515,"elaboration,cause",temp_min,35.038045902396995
Weather,27,analyst,512,96,0.6687045792738596,False,0.16666666666666666,0.8793040442051914,6,0.8452640898887674,2.8297338778075547,0.21239644060319485,93.75,0.39321560272946954,"elaboration,cause",temp_min,35.92856848959929
Weather,27,executive,512,96,0.8797259211540223,True,0.0,0.8246753006786467,5,0.8452640898887674,2.8297338778075547,0.21239644060319485,93.75,0.39321560272946954,"elaboration,cause",temp_min,35.92856848959929
Weather,28,analyst,512,96,0.5643956448350634,False,0.0,0.9092675447463989,7,0.7688054022347943,0.4906942638776964,0.35691174849691915,97.91666666666666,0.4285889728027477,"elaboration,cause",wind,34.41836855901645
Weather,28,executive,512,96,0.6110238790512085,False,0.0,0.8075398802757263,5,0.7688054022347943,0.4906942638776964,0.35691174849691915,97.91666666666666,0.4285889728027477,"elaboration,cause",wind,34.41836855901645
Weather,29,analyst,512,96,0.5845357701182365,False,0.16666666666666666,0.9086103384858571,6,0.7481590340447698,0.844686825284965,0.4720390432213754,97.91666666666666,0.4237122737001955,"elaboration,cause",temp_min,34.48447328013177
Weather,29,executive,512,96,0.8493754352842059,True,0.0,0.8628765344619751,7,0.7481590340447698,0.844686825284965,0.4720390432213754,97.91666666666666,0.4237122737001955,"elaboration,cause",temp_min,34.48447328013177
Weather,30,analyst,512,96,0.7597078730662664,True,0.0,0.8776001857280842,6,0.746874434089204,1.3468290941253325,0.41540222449603725,96.875,0.397208908670827,"elaboration,cause",temp_min,35.653949222427315
Weather,30,executive,512,96,0.6697499603033066,False,0.16666666666666666,0.8165176997493326,6,0.746874434089204,1.3468290941253325,0.41540222449603725,96.875,0.397208908670827,"elaboration,cause",temp_min,35.653949222427315
Weather,31,analyst,512,96,0.7262537876764933,True,0.16666666666666666,0.8627878263935835,6,0.7376579170451523,2.3741104948599063,0.17670176763954407,95.83333333333334,0.4088061726407001,"elaboration,cause",temp_min,36.61498366341193
Weather,31,executive,512,96,0.8236468136310577,True,0.0,0.8438064958933887,4,0.7376579170451523,2.3741104948599063,0.17670176763954407,95.83333333333334,0.4088061726407001,"elaboration,cause",temp_min,36.61498366341193
Weather,32,analyst,512,96,0.76345927019914,True,0.16666666666666666,0.8829371929168701,6,0.7175031542321552,0.09408629531583575,0.38525248574374843,96.875,0.4781127013963706,"elaboration,cause",temp_min,35.00154695254629
Weather,32,executive,512,96,0.7118595242500305,True,0.0,0.8424696326255798,5,0.7175031542321552,0.09408629531583575,0.38525248574374843,96.875,0.4781127013963706,"elaboration,cause",temp_min,35.00154695254629
